baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	TE_ID	Class	Subclass	Family	Subfamily
555232.1073784687	9.698175474298603	0.1032254899756584	89.10759809876053	0	0	TF000750|Ty1_copia_Ele76	Class I	LTR Retrotransposons	Ty1_copia	NA
3217.354518701643	7.714125728854603	0.18515184549261748	38.963293666669124	0	0	TF000988|Ty1_copia_Ele179	Class I	LTR Retrotransposons	Ty1_copia	NA
574.750525670788	6.064989963918485	0.2223628059038563	25.026622331455187	3.137757565761752e-138	5.506764527911875e-136	TF000606|Pao_Bel_Ele114	Class I	LTR Retrotransposons	Pao_Bel	NA
716.5836789389276	4.575334416030409	0.15102604700237937	26.98431493718566	2.2582107339561078e-160	4.755791805711563e-158	TF000516|Pao_Bel_Ele88	Class I	LTR Retrotransposons	Pao_Bel	NA
1089.6976925140516	4.2596404666108905	0.15034276509077094	25.00712597869921	5.114210586475374e-138	7.693233925083668e-136	TF001163|PIF_Ele2	Class II	Cut and paste DNA transposon	PIF	NA
1068.0124782033288	4.12549132251353	0.15458036091928598	23.453764119535066	1.210021928066144e-121	1.592691362817062e-119	TF000414|Ty3_gypsy_Ele114	Class I	LTR Retrotransposons	Ty3_gypsy	Osvaldo
153.95747507447226	4.050387913948617	0.243823741511248	14.561288789774524	4.951541858870052e-48	5.213973577390165e-46	TF001007|Tc1_Ele10	Class II	Cut and paste DNA transposon	Tc1	NA
2526.6481173686466	3.9898759468743346	0.12110336505763199	28.817332575470008	1.3010733516528111e-182	3.4250755982260253e-180	TF000130|Ty1_copia_Ele1	Class I	LTR Retrotransposons	Ty1_copia	NA
1.0857814680016737	3.708277613482638	2.095687732887688	1.5308948767199637	0.12579537564798965	1	TF001032|Ty1_copia_Ele175	Class I	LTR Retrotransposons	Ty1_copia	NA
27056.964518790694	3.243103435082836	0.09373162303261398	29.265506627665793	2.8510668974574255e-188	1.0007244810075564e-185	TF000012|Outcast_Ele1	Class I	Non-LTR Retrotransposons	Outcast	NA
1.44818754005448	2.9952032285778745	1.75878179282499	1.4187110867062307	0.15598326363520698	1	TF000591|Pao_Bel_Ele134	Class I	LTR Retrotransposons	Pao_Bel	NA
