baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	TE_ID	Class	Subclass	Family	Subfamily
335595.79362954287	9.22130869313195	0.3978399635947565	21.921650641451286	1.6149437471629109e-106	1.7134553157398483e-103	TF000750|Ty1_copia_Ele76	Class I	LTR Retrotransposons	Ty1_copia	NA
1155.3726167710367	8.18819148947175	0.7675584725641353	10.016424499606241	1.2908868091813053e-23	1.0535622342625883e-21	TF001075|Ty1_copia_Ele140	Class I	LTR Retrotransposons	Ty1_copia	NA
10938.84628853448	6.691179251179225	0.3975879069776162	15.571850004803547	1.130884709415914e-54	2.3997373533805694e-52	TF000753|Ty1_copia_Ele79	Class I	LTR Retrotransposons	Ty1_copia	NA
2758.5346262788667	6.358175037855799	0.3189698077636575	18.365923342175527	2.4622623024010227e-75	1.3062301514237427e-72	TF001127|Ty1_copia_Ele206	Class I	LTR Retrotransposons	Ty1_copia	NA
8298.192543591502	5.409247984477156	0.3003232646013094	16.346545749608744	4.603471311445902e-60	1.6280943538147008e-57	TF000414|Ty3_gypsy_Ele114	Class I	LTR Retrotransposons	Ty3_gypsy	Osvaldo
2616.3669507422337	5.076754762986811	0.4711845501380028	9.713295484001648	2.6463957813075524e-22	2.0055899456909382e-20	TF000194|Jockey_Ele5	Class I	Non-LTR Retrotransposons	Jockey	NA
1248.1405791369052	5.0175423246615125	0.7640528706197467	5.912604347650962	3.3674038000536126e-9	1.0208044091019665e-7	TF000148|Jockey_Ele4	Class I	Non-LTR Retrotransposons	Jockey	NA
2984.1579900247984	4.857703705098376	0.29255822871806275	14.895167106367323	3.542977222710176e-50	5.370141190422139e-48	TF001086|Ty1_copia_Ele205	Class I	LTR Retrotransposons	Ty1_copia	NA
403.3944354063	4.714451157899566	0.2629247787325054	16.029113643135428	8.001590762259135e-58	2.1224219496892356e-55	TF000091|Pao_Bel_Ele8	Class I	LTR Retrotransposons	Pao_Bel	NA
19903.816075445266	4.494560808464405	0.7804355675337029	5.118373603970709	3.0818166374081723e-7	7.6042033774187695e-6	TF000440|Jockey_Ele8	Class I	Non-LTR Retrotransposons	Jockey	NA
